drive_id,max_abs_force_N,rms_force_N,max_abs_desired_force_N,max_abs_force_tracking_error_N,rms_force_tracking_error_N,max_abs_force_rate_N_per_s,rms_force_rate_N_per_s,force_saturation_fraction,near_rate_limit_fraction,max_abs_command_velocity_m_per_s,max_abs_length_servo_error_m,rms_length_servo_error_m
1,18.2960796225648,9.46869869450912,131.209382310491,120.42210987101,4.90617519591315,462.33287716139,18.9675071087664,0,0.000774593338497289,0.000497234837248403,3.28024225697832e-05,2.67124382360404e-06
2,33.0837625966769,15.5150392361301,85.2296563732387,86.2598696529792,4.55884429406062,479.634460179435,29.6305131841113,0,0.000774593338497289,0.000281738986734866,2.13072715195273e-05,4.04524307935117e-06
3,169.904645290911,89.2475584627821,223.108607019878,206.840979263152,14.8064646070354,500.000198148683,96.5445137881911,0,0.010844306738962,0.00147530750283607,5.57771349152802e-05,2.2649838014635e-05
4,53.5850366892562,25.8557164139156,424.630379442665,413.340286279694,21.4218884766185,491.961538684811,38.4765138548719,0,0.00154918667699458,0.00178987729245981,0.000106157477971006,8.40788999204016e-06
5,32.7163372137371,10.7882966412054,102.614956664415,80.4668332486933,3.65622547812732,475.795992418373,27.9734206380863,0,0.00154918667699458,0.000240627638645582,2.56538302732048e-05,2.8728753812091e-06
6,41.5424001005698,20.9999783807945,41.5753290828913,19.5795904944409,1.50701521011368,316.943339077724,24.8810466208362,0,0,0.000322894213692398,1.03938322877327e-05,5.26685931869802e-06
7,35.5735696340377,16.8031645860433,293.420991958135,282.321837626617,20.5002835576017,487.857964029202,35.9897008483558,0,0.00154918667699458,0.00132699461499394,7.33550541076183e-05,6.62416198967197e-06
8,36.7277380411566,19.3868664351135,187.844607400533,177.970258766199,7.98216056184209,499.936371001467,38.8474007378425,0,0.000774593338497289,0.000384104432349547,4.69611003834358e-05,5.26173183212147e-06
9,135.80673116865,70.902366383332,193.501172892471,175.709195924034,12.8086662551616,499.999025879311,86.1011155536657,0,0.010844306738962,0.00115346215458509,4.83753063826933e-05,1.80365495109189e-05
