sample_index,min_eig,max_eig,symmetry_error,is_spd
1,1.34394243986613e-09,9.78819089026112e-07,0,1
17,1.33011057835241e-09,9.88786969462252e-07,0,1
33,1.33013962048577e-09,9.88564598166212e-07,0,1
48,1.33493102506895e-09,9.86504280281121e-07,0,1
64,1.35132798726644e-09,9.71691153946262e-07,0,1
80,1.36847172596389e-09,9.53945584622565e-07,0,1
96,1.3880743700087e-09,9.32894844568668e-07,0,1
111,1.40801537890694e-09,9.11471550691346e-07,0,1
127,1.40195977669945e-09,9.18160544874323e-07,0,1
143,1.35745014716716e-09,9.65522236133067e-07,0,1
159,1.33008987605148e-09,9.8813054284137e-07,0,1
174,1.3390659907548e-09,9.7188355832123e-07,0,1
190,1.34119386146721e-09,9.6729617617731e-07,0,1
206,1.33416855958231e-09,9.78212766262279e-07,0,1
222,1.33070181415897e-09,9.85485398475759e-07,0,1
237,1.33157314641991e-09,9.86969674267015e-07,0,1
253,1.3427303401373e-09,9.78401868418556e-07,0,1
269,1.35978802764974e-09,9.62114011838345e-07,0,1
285,1.35428603036406e-09,9.68448897783914e-07,0,1
300,1.33254356822083e-09,9.87138980039565e-07,0,1
316,1.33482711580011e-09,9.7947408278817e-07,0,1
332,1.34236357637139e-09,9.66504078312297e-07,0,1
348,1.33802377222096e-09,9.72744622145274e-07,0,1
363,1.33318238731712e-09,9.80985687369282e-07,0,1
379,1.33095576519046e-09,9.85604997429196e-07,0,1
395,1.33122012354333e-09,9.87266209612768e-07,0,1
411,1.34246069646375e-09,9.78396569630462e-07,0,1
426,1.35421811513903e-09,9.67744297622897e-07,0,1
442,1.34516836561606e-09,9.7679561196877e-07,0,1
458,1.33131112208244e-09,9.88462775950569e-07,0,1
474,1.33035005574481e-09,9.88229807392693e-07,0,1
489,1.33072774618011e-09,9.89153657604363e-07,0,1
505,1.34028586328365e-09,9.81817179631548e-07,0,1
521,1.35408817643321e-09,9.69135172838607e-07,0,1
537,1.36488728990079e-09,9.57683604185183e-07,0,1
552,1.37977218843986e-09,9.4115281589566e-07,0,1
568,1.39537780409953e-09,9.24830327982399e-07,0,1
584,1.38160100407395e-09,9.40496481488495e-07,0,1
600,1.34584094332768e-09,9.77134058327585e-07,0,1
615,1.34394243989078e-09,9.78819089027452e-07,0,1
631,1.34394243989078e-09,9.78819089027452e-07,0,1
